source,metabolite,comparison,direction,log2fc,control_mean,disease_mean,p_value,fdr,priority_score
Figure6D+F raw data.xlsx:FDR,pyruvate,KO_or_PH_vs_WT_or_control,down,-0.626060732200287,683077.822,442595.634,0.0832088474400527,0.419169251128783,0.8624678904451506
Figure6D+F raw data.xlsx:FDR,CDP-choline,KO_or_PH_vs_WT_or_control,down,-0.620484543028196,2763516.848,1797536.25,0.226959892803685,0.453683473535165,0.8334640261743378
Figure6D+F raw data.xlsx:FDR,PG(16:1/18:2),KO_or_PH_vs_WT_or_control,down,-0.496669109307827,1448406.224,1026545.214,0.054230674803348,0.220842424005551,0.8224430671364898
sFig6A Raw data.xlsx,Cyclic-ADP-ribose,PH-mk_vs_Control-mk,up,0.043790202280327165,414511.9266666667,427286.52333333326,,,0.819089062908581
sFig6A Raw data.xlsx,alanine,PH-mk_vs_Control-mk,down,-0.04215808160663121,491791.6766666667,477628.60333333333,,,0.7971119686287743
sFig6A Raw data.xlsx,C18:1,PH-CD41_vs_Control-CD41,up,0.029947342370175427,90631546.66666667,92532530.66666667,,,0.7925102168817815
sFig6A Raw data.xlsx,homocysteic acid,PH-CD41_vs_Control-CD41,up,0.03861989798798859,1280895.54,1315647.2466666668,,,0.7850398894390186
Figure6D+F raw data.xlsx:FDR,LysoPE(22:0),KO_or_PH_vs_WT_or_control,up,0.575251343443171,104246.298,155320.418,0.114887724101968,0.432339529734835,0.7847435326032967
sFig6A Raw data.xlsx,Trimethylamine N-oxide (TMAO),PH-CD41_vs_Control-CD41,up,0.03692023788680141,1900713.7533333332,1949982.96,,,0.7714495087538292
Figure6D+F raw data.xlsx:FDR,Hypotaurine,KO_or_PH_vs_WT_or_control,up,0.571777428244318,411356.658,611421.474,0.128835840612495,0.486750311862204,0.7505686630538352
Figure6D+F raw data.xlsx:FDR,creatine,KO_or_PH_vs_WT_or_control,down,-0.52085213751003,2568523.376,1790158.174,0.15475475731086,0.39301598486403,0.7321044442450996
Figure6D+F raw data.xlsx:FDR,3-hydroxypalmitoleoylcarnitine,KO_or_PH_vs_WT_or_control,up,0.558210562474253,1237387.702,1821981.314,0.266484794008825,0.498990526330785,0.7267386293222605
Figure6D+F raw data.xlsx:FDR,Glutaurine,KO_or_PH_vs_WT_or_control,down,-0.446333324660694,1003653.948,736587.388,0.0434229620841298,0.238102779299597,0.7245041131248443
sFig6A Raw data.xlsx,glutathione disulfide,PH-CD41_vs_Control-CD41,up,0.047298314229374215,24483.39333333333,25299.376666666667,,,0.6918263522519633
Figure6D+F raw data.xlsx:FDR,Aminoadipic acid,KO_or_PH_vs_WT_or_control,down,-0.573899429276227,2275322.126,1528558.088,0.248218385576826,0.668249306985496,0.6743671144355351
sFig6A Raw data.xlsx,CMP-N-glycoloylneuraminate,PH-CD41_vs_Control-CD41,down,-0.041891122874310925,65581.26666666666,63704.38333333333,,,0.6703006172195779
Figure6D+F raw data.xlsx:FDR,succinate,KO_or_PH_vs_WT_or_control,up,0.425572247685496,5557985.92,7464959.47,0.051648847140395,0.285529882761461,0.6572318338370766
Figure6D+F raw data.xlsx:FDR,Decanoyl-L-carnitine,KO_or_PH_vs_WT_or_control,up,0.497331117268537,2707717.574,3822213.55,0.192017408314802,0.491184703086634,0.6508846693572478
Figure6D+F raw data.xlsx:FDR,Oleoylcarnitine,KO_or_PH_vs_WT_or_control,up,0.469916656007548,12647739.7,17517492.0,0.218382031657885,0.424198550381286,0.6449281015062954
Figure6D+F raw data.xlsx:FDR,malate,KO_or_PH_vs_WT_or_control,down,-0.471174514649216,17566082.33,12671769.13,0.128572427010098,0.437688449124886,0.640248381347653
Figure6D+F raw data.xlsx:FDR,NAD,KO_or_PH_vs_WT_or_control,up,0.51769645876745,451300.886,646112.806,0.382810791864285,0.628654637119836,0.6220577886291443
Figure6D+F raw data.xlsx:FDR,Pantothenic Acid,KO_or_PH_vs_WT_or_control,down,-0.447265681400107,2659946.974,1950889.148,0.124954858493302,0.427420740296593,0.6123713064989699
Figure6D+F raw data.xlsx:FDR,Phosphorylcholine,KO_or_PH_vs_WT_or_control,down,-0.493869769645898,153016009.304,108659388.504,0.313844026341671,0.604916414451343,0.601683827332261
Figure6D+F raw data.xlsx:FDR,NADP,KO_or_PH_vs_WT_or_control,up,0.483016974325173,477402.276,667247.696,0.365916363486816,0.583076655073823,0.5961754602332269
Figure6D+F raw data.xlsx:FDR,ceramide(d18:1/16:1),KO_or_PH_vs_WT_or_control,down,-0.450113321933613,321694.578,235475.718,0.19096860196744,0.476740307750501,0.594922937032261
Figure6D+F raw data.xlsx:FDR,Sorbitol-6-phosphate,KO_or_PH_vs_WT_or_control,up,0.432636377340033,110385.42,148986.954,0.0841202534573568,0.432339529734835,0.5901917534940105
Figure6D+F raw data.xlsx:FDR,dodecanoylcarnitine,KO_or_PH_vs_WT_or_control,up,0.390741568585519,4808605.3,6304404.4,0.0467376030984989,0.309911100189093,0.5895363697487568
Figure6D+F raw data.xlsx:FDR,Glycerophosphoglycerol,KO_or_PH_vs_WT_or_control,down,-0.37893244664878,10517606.3,8088106.8,0.0647007769594418,0.293413152086991,0.5807217134415703
Figure6D+F raw data.xlsx:FDR,PC(18:0/18:1),KO_or_PH_vs_WT_or_control,down,-0.425023051019351,262113.89,195229.458,0.103475441199386,0.432339529734835,0.5798058436480756
sFig6A Raw data.xlsx,Phosphodimethylethanolamine,PH-mk_vs_Control-mk,down,-0.03480606735617485,88273.72666666667,86169.54333333333,,,0.571853691347517
Figure6D+F raw data.xlsx:FDR,N-acetyl-aspartate,KO_or_PH_vs_WT_or_control,down,-0.329279241929362,837515.0,666606.686,0.0378865462747569,0.186150873166861,0.5696975156575197
sFig6A Raw data.xlsx,Glycerol 3-phosphate,PH-mk_vs_Control-mk,up,0.033102956109747964,95550.91666666667,97768.7,,,0.5487510072896182
Figure6D+F raw data.xlsx:FDR,fumarate,KO_or_PH_vs_WT_or_control,down,-0.406793117655106,2725624.678,2055933.78,0.136950780912569,0.449859955414126,0.5479188697812384
Figure6D+F raw data.xlsx:FDR,LysoPG(18:0),KO_or_PH_vs_WT_or_control,down,-0.451784637287784,2644621.876,1933583.176,0.337417633672738,0.630501066861818,0.5422835038344453
Figure6D+F raw data.xlsx:FDR,PG(16:1/20:5),KO_or_PH_vs_WT_or_control,up,0.387439976850419,463715.05,606571.842,0.14690398160014,0.427420740296593,0.5304612776708447
sFig6A Raw data.xlsx,Trimethylamine N-oxide (TMAO),PH-mk_vs_Control-mk,down,-0.024935253594509318,2423672.25,2382141.9166666665,,,0.5288459033509113
Figure6D+F raw data.xlsx:FDR,C18:1,KO_or_PH_vs_WT_or_control,up,0.318255868796901,1343903076.6,1675608331.0,0.0396455836507529,0.234735405834354,0.518572923147393
Figure6D+F raw data.xlsx:FDR,LysoPC(16:0),KO_or_PH_vs_WT_or_control,up,0.260888322614196,965927.664,1157390.238,0.0190673105783006,0.109395148289531,0.5116025064246951
Figure6D+F raw data.xlsx:FDR,inositol,KO_or_PH_vs_WT_or_control,down,-0.340118210689826,59644536.95,47117787.35,0.139645087467363,0.416307074062684,0.4695625112232039
Figure6D+F raw data.xlsx:FDR,dodecenoylcarnitine,KO_or_PH_vs_WT_or_control,up,0.382289253184221,911146.1,1187595.526,0.278965985534129,0.599746469108505,0.4671698154018457
Figure6D+F raw data.xlsx:FDR,Uric acid,KO_or_PH_vs_WT_or_control,down,-0.377600983014939,2655268.45,2043803.85,0.25603568509593,0.606370101290661,0.4596394112010614
Figure6D+F raw data.xlsx:FDR,Creatine phosphate,KO_or_PH_vs_WT_or_control,down,-0.362447999833117,354349.46,275628.458,0.328753341136521,0.548175807200232,0.45707597263840105
Figure6D+F raw data.xlsx:FDR,glycerate,KO_or_PH_vs_WT_or_control,down,-0.332823446947344,323446.416,256810.338,0.110833979015707,0.427420740296593,0.45568336117948993
Figure6D+F raw data.xlsx:FDR,PC(16:0/16:1),KO_or_PH_vs_WT_or_control,down,-0.359180428934383,136619.756,106509.764,0.229985585569664,0.548175807200232,0.45295530388759697
Figure6D+F raw data.xlsx:FDR,PG(16:0/18:2),KO_or_PH_vs_WT_or_control,down,-0.344397911151007,41762990.8,32894060.8,0.164115549891587,0.506220366096523,0.4462227306472619
Figure6D+F raw data.xlsx:FDR,C22:4,KO_or_PH_vs_WT_or_control,down,-0.26781804831049,250933619.2,208419132.8,0.035895808712377,0.234735405834354,0.43638845910059426
Figure6D+F raw data.xlsx:FDR,adenosine,KO_or_PH_vs_WT_or_control,up,0.369998027980529,278620.508,360075.51,0.414461746568555,0.701958341546032,0.42686252938726665
Figure6D+F raw data.xlsx:FDR,GDP,KO_or_PH_vs_WT_or_control,up,0.356858199182548,540352.684,691994.01,0.331666480994079,0.644021821505966,0.4250535930385704
Figure6D+F raw data.xlsx:FDR,decenoylcarnitine,KO_or_PH_vs_WT_or_control,up,0.352601655239689,1660302.302,2119975.514,0.250707484579509,0.630501066861818,0.4232327646400337
